cycle,sum(ville collect each.S),sum(ville collect each.I),sum(ville collect each.Le),sum(ville collect each.Lf),sum(ville collect each.T),sum(ville collect each.K),sum(ville collect each.R1),sum(ville collect each.R2)
57,98106.41041246806,19.311440925459856,238.2281650096427,26.439360475811064,0.03269307091470556,0.00980792127441167,41.274510202832786,22.930283446018223
58,98093.62003070199,20.44725221284854,251.8266152578887,28.042768904207712,0.03463829847527085,0.01039148954258125,43.83941361955699,24.35522978864278
59,98079.65635218493,21.653633936367367,266.211469015641,29.73634250260515,0.03669809082408521,0.01100942724722556,46.54823076909645,25.860128205053588
60,98064.44956694788,22.935372545562856,281.4301387539965,31.52534133182394,0.03887959351109957,0.01166387805332987,49.40887711428388,27.449376174602165
61,98047.92548519102,24.29762488643454,297.5330564465532,33.41534583850637,0.0411904397375068,0.01235713192125204,52.42969685688158,29.127609364934216
62,98030.00523951356,25.745951727383083,314.57388362117536,35.41227754698227,0.04363878840985419,0.01309163652295625,55.61948434250116,30.899713523611762
63,98010.60496490117,27.286354814908663,332.6097374667565,37.522421220046425,0.04623336567016194,0.01387000970104858,58.98750621786511,32.77083678770285
64,97989.63545468598,28.925317879147986,351.7014343023514,39.75244860292197,0.04898351027102044,0.01469505308130613,62.5435243023055,34.746402390169735
65,97967.00179055704,30.66985206418135,371.91375181641496,42.10944387404652,0.0518992232088413,0.01556976696265239,66.2978191185883,36.83212173254907
66,97942.60294455157,32.5275463205519,393.31571158833583,44.60093093637612,0.05499122207843955,0.01649736662353186,70.26121400766925,39.03400778203849
67,97916.33135080845,34.50662336873994,415.98088351192547,47.2349026936754,0.05827100066874043,0.01748130020062212,74.44509972710814,41.35838873728232
68,97888.07244470806,36.61600192371454,439.9877138494527,50.01985246775813,0.06175089438356779,0.01852526831507034,78.86145940273141,43.81192189040635
69,97857.70416686704,38.86536596362168,465.419878753022,52.964807724854495,0.06544415214425094,0.01963324564327528,83.52289366671383,46.4016075926188
70,97825.09642930012,41.265241931857105,492.36666519457697,56.079366292180296,0.06936501551341134,0.0208095046540234,88.44264577132618,49.13480320629233
71,97790.11054091131,43.82708488315255,520.923381342525,59.37373525931358,0.0735288058731658,0.02205864176194974,93.634626414716,52.01923689706445
72,97752.59858933878,46.5633747230898,551.1917985065439,62.85877277305248,0.07795202059772095,0.02338560617931628,99.1134379515229,55.063021084179404
73,97712.40277605939,49.487723849170244,583.2806268354469,66.54603294888973,0.08265243928178176,0.02479573178453453,104.8943975848254,58.27466532490302
74,97669.3547015704,52.6149976830725,617.3060269868083,70.44781413689083,0.08764924122446957,0.02629477236734087,110.99355904443769,61.66308835802096
75,97623.27459742056,55.961449791260364,653.3921599793363,74.57721079430951,0.0929631355259531,0.02788894065778593,117.42773214702909,65.23762897057173
76,97573.97050188013,59.54487352829946,691.6717773742512,78.94816923132262,0.09861650533350035,0.02958495160005011,124.21449950251346,69.00805527917416
77,97953.23737613874,63.38477240816342,732.2868537902665,83.57554750927893,0.1046335679782921,0.03139007039348763,131.3722294746119,72.98457193033997
78,98378.52587800927,67.52095712678756,775.7310838986581,88.47655632925775,0.11104145309723154,0.03331243592916946,138.92160484722203,77.1786693595678
79,98399.48655634126,71.98343906564227,822.2710271078969,93.67125885499826,0.11787075628050578,0.03536122688415173,146.8861192345314,81.60339957473968
80,98334.22722668089,76.7790792418031,871.704692268923,99.17970577934864,0.125153902892199,0.0375461708676597,155.2888418901119,86.27157882783996
81,98264.46551457777,81.93707717509368,924.2245457158605,105.02159243735554,0.1329250555492742,0.03987751666478226,164.15190875562976,91.19550486423877
82,98189.90626532902,87.48966410248053,980.036633339482,111.21794470156486,0.14122140093509014,0.04236642028052704,173.49823938901847,96.38791077167694
83,98110.2338110286,93.4724651851643,1039.3615239618277,117.79121369143236,0.15008346672910167,0.0450250400187305,183.35149469988832,101.86194149993797
84,98025.11056856177,99.92490926872273,1102.4352929978459,124.7653769312898,0.1595554766638918,0.04786664299916753,193.73601621739306,107.63112012077393
85,97934.175578734,106.89069269174229,1169.5105390429835,132.16604616135612,0.16968574873209286,0.05090572461962785,204.67674286296443,113.7093015905358
86,97837.0429973676,114.41830448348121,1240.857422508925,140.02058192951878,0.18052714225017066,0.05415814267505119,216.19910043584176,120.11061135324543
87,97733.30055432016,122.5616212153144,1316.764710881409,148.35821498327945,0.19213756025805723,0.05764126807741716,228.32885812461976,126.84936562478876
88,97622.50800298633,131.38058076680736,1397.5408093338103,157.21017433238842,0.20458051460070192,0.06137415438021056,241.0919453162132,133.93996962011846
89,97504.1955913143,140.94194531974145,1483.514747980245,166.6098216521085,0.21792576200615552,0.06537772860184664,254.51422076809104,141.39678931560613
90,97377.86259614374,151.3201649746145,1575.037087607815,176.59279143087883,0.2322500205490438,0.06967500616471313,268.62118482547163,149.23399156970646
91,97242.97597629641,162.59835444907404,1672.4806938290533,187.19713591728964,0.24763777706889178,0.07429133312066752,283.437623791542,157.46534655085668
92,97098.96921696138,174.86939629701394,1776.2413146992653,198.46347346879975,0.264182197394737,0.07925465921842108,298.9871737922576,166.1039854401431
93,96945.24145925842,188.23718487744964,1886.7378783190975,210.4351383231233,0.28198615259730486,0.08459584577919145,315.2917895269832,175.16210529276844
94,96781.15703528558,202.81802575428188,2004.4124040767892,223.15832907217583,0.30116337592169823,0.09034901277650946,332.3711011909481,184.65061177274893
95,96606.04556139704,218.74220510971745,2129.7293931964273,236.6822521817377,0.3218397665031881,0.09655192995095642,350.2416406538584,194.57868925214353
96,96419.20278190548,236.15574281043507,2263.1745303364046,251.05925572542512,0.34415485736731427,0.10324645721019428,368.9159157835505,204.95328654641693
97,96219.89240282879,255.22234057281992,2405.2524873516213,266.34494704110784,0.36826346645954106,0.11047903993786232,388.4013097795154,215.77850543306408
98,96007.34921152976,276.12553268825565,2556.483572372222,282.59828621846407,0.3943375503886692,0.11830126511660076,408.6987807813889,227.0548782118827
99,95780.78384360949,299.07104027258043,2717.3989117782303,299.8816451317613,0.42256828098902655,0.12677048429670795,429.80133621468826,238.77852011927126
100,95539.38963303016,324.2893200622941,2888.5337898037687,318.260819086863,0.45316836441407066,0.13595050932422117,451.69225686209387,250.94014270116327
101,95282.35206386665,352.03828421009115,3070.418701770071,337.8049750080947,0.4863746208682964,0.14591238626048889,474.3430482416137,263.5239156897854
102,95008.86142923722,382.60614687288387,3263.567605344946,358.586516419344,0.5224508397335264,0.15673525192005788,497.7111025289027,276.5061680716126
103,93773.12938907926,416.3143248984145,3468.46278523316,380.6808412794716,0.5616909190587197,0.1685072757176159,516.7370642833765,287.85392460187586
104,93467.61589160626,453.15538150838717,3682.453090993643,404.15360692803404,0.6044044809410533,0.18132134428231597,541.471485275569,301.57371143440383
105,93143.88736594983,493.8355093043088,3908.6278982875524,429.07089603673415,0.6509348623656488,0.19528045870969463,566.6726626898559,315.5515794017244
106,92801.38740711086,538.7844390789298,4147.23142234448,455.51160866184944,0.7016820908754153,0.2105046272626246,592.2129614799378,329.7165841190847
107,92439.69703167064,588.4734429501221,4398.373607011056,483.5549390882634,0.7570907080535354,0.22712721241606063,617.9356681296091,343.9816360424167
108,92058.58057666248,643.4156549857985,4661.9901707515455,513.27911830187,0.8176538924967022,0.24529616774901067,643.6517550498864,358.2417060344642
109,91658.03909330703,704.1647992678973,4937.796538972812,544.7598244668484,0.8839175345706249,0.2651752603711875,669.1369941135442,372.3722253975968
110,91238.37085551335,771.3117332728362,5225.236159546384,578.0682181128424,0.9564840751296688,0.28694522253890065,694.1297533997304,386.22786594031373
111,90800.23776437262,845.47811652337,5523.424473988559,613.2685664158672,1.036015856404726,0.3108047569214178,718.3299100457311,399.6419404893684
112,90344.73527150991,927.306445523061,5831.0908745437455,650.4154359770139,1.1232376608165981,0.33697129824497946,741.3994117238242,412.42671952530856
113,89873.46195261658,1017.4456863483678,6146.522323548442,689.5504581095927,1.218938036895315,0.36568141106859453,762.9651034427968,424.3750062854314
114,89388.58308575721,1116.5318260756467,6467.513894211451,730.6987068843858,1.3239689386414588,0.3971906815924376,782.624480368938,435.26333699976834
115,88892.88067334097,1225.1629006999078,6791.333168589876,773.8647792999795,1.4392431478121397,0.43177294434364183,799.9549977230616,444.8571563312218
116,88389.78057303632,1343.8684872388258,7114.706933014127,819.028728520003,1.5657289247852315,0.4697186774355694,814.5274259494947,452.9182386059112
117,87883.34620895742,1473.0743039306099,7433.839536699845,866.1420719962609,1.704441363980473,0.5113324091941418,825.9234444699791,459.2144615184934
118,87378.22829762852,1613.0634425533433,7744.47209706235,915.1241695238043,1.8564300371089844,0.5569290111326952,833.7571949185011,463.531776545787
119,86879.56177866472,1763.9367991256904,8041.989874782076,965.8593304426728,2.022762711571023,0.6068288134713069,837.6998702432553,465.687862366025
120,86392.80521281985,1925.5763311742114,8321.581149104255,1018.1950487655799,2.2045052418099966,0.6613515725429989,837.5056551988903,465.5465251617251
121,85923.52446918238,2097.6156232858602,8578.444690088947,1071.941762197886,2.4026981394486278,0.7208094418345883,833.0365760184671,463.03148917084854
122,85477.1311146791,2279.422599876534,8808.034928216737,1126.8744696804883,2.6183307985167588,0.7854992395550275,824.2832423230449,458.13790214043127
123,85058.59528934013,2470.0988036008057,9006.3253806418,1182.7364132014472,2.8523148208422455,0.8556944462526737,811.3782824546793,450.93977992982997
124,84672.16100707694,2668.498285908023,9170.063690967972,1239.2448370906723,3.1054582659517274,0.9316374797855183,794.5996642793482,441.59183220059947
125,84321.0964309792,2873.2668738593893,9296.987934312661,1296.0986025235297,3.3784428445514805,1.0135328533654442,774.3621300471849,430.3246872851294
126,84007.51077211919,3082.8997037335375,9385.975391439946,1352.9871933695485,3.671806007691273,1.101541802307382,751.196557640239,417.4334141053611
127,83732.26226506353,3295.812016081712,9437.102419817693,1409.6004482573856,3.985929523106159,1.1957788569318477,725.7189063444406,403.2602639562213
128,83906.96911170005,3510.415968013216,9451.606335109223,1465.638237052302,4.321035507994714,1.2963106523984143,698.5920996278462,388.17349540721693
129,84182.48856060035,3726.22593469305,9450.21168610332,1520.8971426092241,4.6772421877405606,1.4031726563221683,670.5481998130097,372.57969965336036
130,84061.82859114093,3941.697209260636,9430.467877313647,1575.2484029835755,5.054564882063125,1.5163694646189376,642.3088931331894,356.8796410517443
131,83898.06691545557,4154.701782305381,9376.738955592149,1628.4891328499996,5.452834350741024,1.6358503052223072,614.4255569972365,341.37942501855736
132,83766.95812900481,4364.321272217759,9293.78972962857,1680.3781856220403,5.871730249198745,1.7615190747596237,587.3068738804667,326.30585455146854
133,83664.03782513298,4569.844658825636,9186.485148673266,1730.7174285710162,6.310851215316569,1.8932553645949708,561.2812782741362,311.8411386817134
134,83584.88678830741,4770.761562771092,9059.534341790893,1779.3508349940093,6.769735466267783,2.030920639880335,536.5924767491482,298.1204188444092
135,83525.34010930815,4966.744365431598,8917.298145702132,1826.1617572267426,7.247880109573049,2.1743640328719147,513.4019230997204,285.2331556549108
136,83481.62959015876,5157.623010568844,8763.663692492675,1871.068946393068,7.744758245073277,2.323427473521983,491.7965889306407,273.2274537927659
137,83450.46332523796,5343.3562163728,8601.98084333018,1914.0218676399804,8.259833318668079,2.4779499956004236,471.80013494853097,262.11627260431527
138,83429.05244868128,5524.002253754294,8435.0496524915,1954.9957838628159,8.792570536256596,2.6377711608769787,453.38568114147364,251.88452199918476
139,83415.097926569,5699.691637041478,8265.145590907292,1993.9869737642784,9.342445422595818,2.8027336267787453,436.48868385357235,242.49621549611007
140,83406.75053694056,5870.603220724865,8094.069321393795,2031.0083353369093,9.90894980127194,2.972684940381582,421.01883837565623,233.90108040141425
141,83402.55568571445,6036.9444358631745,7923.20952904938,2066.085520655197,10.491595581784598,3.14747867453538,406.8703424990328,226.0402565836366
142,83401.39230531814,6198.935804148769,7753.609831207543,2099.253661992867,11.089916781305817,3.326975034391746,393.9302176115167,218.8509157975605
143,83402.41245261848,6356.799456151669,7586.033467736055,2130.5546862322926,11.703470199863288,3.511041059958987,382.0846594049117,212.26978641014202
144,83404.98580928554,6510.751137742719,7421.021882844241,2160.0351733576395,12.331835126437268,3.699550537931181,371.2235748488335,206.2356707912546
145,83408.6513222516,6660.995081869337,7258.9452433811475,2187.744692041582,12.974612395106382,3.892383718531915,361.2435660211785,200.6911002630772
146,83413.07677361855,6807.721113187406,7100.044342225594,2213.7345364848948,13.631423046593357,4.0894269139780075,352.0496622902384,195.58329514556237
147,83418.02610480116,6951.103404808867,6944.464252566748,2238.056789351428,14.301906789233138,4.290572036769942,343.5560993257133,190.86459570525597
148,83423.33375358659,7091.300390653165,6792.2806210253775,2260.763642106145,14.985720399138732,4.49571611974162,335.68641357444585,186.49251320508748
149,83428.8849941083,7228.455432512748,6643.519718655926,2281.906913429935,15.682536154292592,4.704760846287778,328.3730776732668,182.4295262587062
150,83434.6012035059,7362.697934156223,6498.173404754327,2301.5377166377884,16.392040361825494,4.917612108547648,321.5568553850867,178.6427216419522
151,83440.4290369352,7494.144677694047,6356.21007708959,2319.706236894822,17.113932011169982,5.134179603350995,315.18601014728216,175.1033539972336
152,83446.3326159263,7622.901226445077,6217.582541430494,2336.46158780751,17.84792156684145,5.354376470052435,309.2154625630731,171.78637734149507
153,83452.2879835443,7749.063292985532,6082.233572240247,2351.8517243688066,18.59372990185593,5.578118970556779,303.60596051001244,168.66998371009964
154,82627.27922812873,7872.718011986058,5950.09977931166,2365.923395218564,19.351087364817893,5.805326209445368,296.3233010505432,164.73517067237253
155,82633.23065517007,7992.744829656265,5821.109741928791,2378.7221033811775,20.119668019171936,6.035900405751581,292.14091902598534,162.36730032985648
156,82639.20105127651,8110.878985200938,5695.199610962504,2390.2921234925707,20.899188833975234,6.26975665019257,287.9211873519344,159.99605753469376
157,82645.18533402075,8227.015699450312,5572.3003334072155,2400.676530338854,21.68944111861989,6.506832335585966,283.7564067284298,157.6660383442993
158,82651.18019319915,8341.108152367826,5452.342936558648,2409.9171957003,22.49020909375123,6.747062728125368,279.6996094781878,155.402537109216
159,82657.1834314109,8453.145970426784,5335.259111509061,2418.0548094688806,23.301274540714708,6.990382362214411,275.77900165256847,153.21864717771447
160,82663.19354938084,8563.141151862003,5220.981563867892,2425.12890418236,24.12241969171207,7.23672590751362,272.0074081866107,151.11991459732928
161,82669.20948717208,8671.118989793826,5109.444217328911,2431.177881402925,24.9534289767328,7.486028693019838,268.38836364093754,149.1073438252389
